a,b
,할 일이 있어서 약을 늦게 먹었는데 괜찮은가요?
,약을 먹고 늦은 시간에 자도 괜찮나요?
,약먹고 밥새면 어떻하나요
,밤새면 부작용있나요?
,새벽에 약을 복용해도 되나요?
,늦게까지 남아도 되나요?
,잠을 안자도 되나요?
,수면시간과 약은 관계가 있나요?
,약 복용이 규칙적인 생활습관과 관련이 있나요?
,새벽에 잘 경우 약 복용이 힘들지는 않나요??
,약을 먹고나서 늦게 자도 문제 없나요?
,약을 늦게 먹어도 되나요?
,약먹고 늦게 자도 되나요?
,약을 너무 늦게 먹었어요
,수면시간이 중요한가요?
,규칙적인 수면이 중요할까요?
,새벽에 약을 먹어도 괜찮을까요?
,컴퓨터 작업을 하며 약을 먹어도 괜찮을까요?
,밤 새고 약 먹어도 되요?
,새벽에 약을 먹으면 문제가 될까요?
답변,"환자 몰래 약을 음식에 넣어서 투여하는 것은 특별한 상황이 아니라면 권장되지 않습니다. 이후에 환자가 알게 되었을 때, 의심이 더 늘어나고 음식도 잘 먹지 않으려 할 수있습니다. 최근에는 한번 투여하면 1-3개월 지속되는 2세대 항정신병약물의 장기지속형 주사제도 있으므로 담당선생님과 상의해 보시기 바랍니다."
유사질문,1. 가족이 약을 잘 안먹으려고 하는데 약을 환자 몰래 국같은데 타서 먹여도 될까요?
,약을 음식에 타서 먹어도 되나요?
,약을 잘 먹으려고 하지 않는데 음식에 넣어서 먹어도 되나요?
,약을 안먹으려고 하는 환자에게 약을 음식에 섞어서 줘도 되나요?
,약이 너무 써서 그러는데 약을 음식에 타서 먹어도 괜찮을까요?
,약을 음료수에 녹여서 먹어도 괜찮나요?
,약을 음식에 섞어 먹어도 되나요?
,환자 몰래 약을 음식에 넣어 먹여도 되나요?
,약을 거부하는 환자에게 약을 쉽게 먹일 수 있는 방법은 없을까요?
,환자가 약을 거부하는데 음식에 넣어도 되나요?
,환자 허락없이 음식에 약을 섞어도 되나요?
,음식에 약을 타도 되나요?
,약을 쥬스에 넣어먹어도 되나요?
,음료에 약 넣어 먹어도 되나요?
,약을 음식에 몰래 넣어 먹여도 되나요?
,약을 거부하는 환자에게 다른치료 방법도 있나요?
,물말고 다른거랑 약을 복용해도 되나요?
,약을 꼭 물과 함께 먹어야 하나요?
,환자몰래 약을타면 어떻게 되나요?
,약을 몰래탄걸 들키면 어떻게 되나요?
,약거부하는 환자에게 다른 방법으로 대체치료원합니다.
,국에 약타서 먹어도 되나요?>
,약을 음식과 함께 먹이면 안좋나요?
,음식과 함께 약먹으면 해롭나요?
,약을 거부하는데 어떤 방법을 써야 좋을까요?
,어떤 방법을 써야 약물치료가 잘 진행될까요?
,약먹기 싫어하는 환자에게는 어떻게 해야 하나요?
,환자에게 약을 항상 강제로라도 먹여야 하나요>?
,환자가 약을 거부해서 힘이들어요
,약을 거부하는 환자에게는 어떤 특별한 방법이 통할까요?
,환자가 약이 절대 싫다고 합니다 특별한 방법을 쓸까요?
,약을 몰래 먹이면 환자도 알까요?
,약을 몰래 먹이면 환자가 더 거부반응 일으킬까요?>
,약을 꼭 먹여야되는데 안먹으려고 합니다.
,환자가 약을 버릴려고 합니다.
,약말고 다른 방법이 없을까요?
,어떤 방법이 환자에게 약먹이기 좋을까요?
,환자에게 약먹이려면 어떻게 하나요?
,환자에게 약먹이는 좋은 방법은 없나요?
,환자에게 어떤방법을 해서라도 먹여야할까요?
,강제로 약투여하면 어떨까요?
,강제로 약먹이면 환자에게 큰 스트레스일까요?
,가족이 약을 잘 안먹으려고 하는데 약을 꿀과 함께 먹여도 되나요?
,동생이 약을 안먹으려고 하는데 약을 음료수에 녹여서 먹여도 되나요?
,아이가 약을 안먹으려고 하는데 약을 음료수에 녹여서 먹여도 되나요?
,환자가 약을 안먹으려고 하는데 약을 음료수에 녹여서 먹여도 되나요?
,아이가 약을 거부하는데 좋은 방법 없을까요?
,동생이 약을 거부하는데 좋은 방법 없을까요?
,약을 몰래 먹여도 되나요?
,약을 식사에 몰래 타서 먹여도 되나요?
,약을 음식에 타서 복용해도 되나요?
,약을 음식에 타서 먹어도 될까요?
,약을 음식에 타서 복용해도 될까요?
,약을 복용하려고 하지 않는데 음식에 넣어서 먹어도 되나요?
,약을 잘 먹으려고 하지 않는데 음식에 넣어서 복용해도 되나요?
,약을 복용하려고 하지 않는데 음식에 넣어서 복용해도 되나요?
,약을 잘 먹으려고 하지 않아서 그런데 음식에 넣어서 먹어도 되나요?
,약을 복용하려고 하지 않아서 그런데 음식에 넣어서 먹어도 되나요?
,약을 잘 먹으려고 하지 않아서 그런데 음식에 넣어서 복용해도 되나요?
,약을 복용하려고 하지 않아서 그런데 음식에 넣어서 복용해도 되나요?
,약을 복용 안하려고 하는 환자에게 약을 음식에 섞어서 줘도 되나요?
,약을 안먹으려고 하는 환자에게 음식을 약에 섞어서 줘도 되나요?
,약을 안먹으려고 하는 환자에게 약을 음식에 섞어서 줘도 될까요?
,약을 안먹으려고 하는 환자에게 음식을 약에 섞어서 줘도 될까요?
,약을 복용안하려고 하는 환자에게 약을 음식에 섞어서 줘도 될까요?
,약을 음료수에 녹여서 먹어도 괜찮을까요?
,약을 음료수에 녹여서 마셔도 괜찮나요?
,약을 음료수에 녹여서 마셔도 괜찮을까요?
,환자 몰래 약을 음식에 넣어 줘도 되나요?
,환자 몰래 약을 음식에 넣어 먹여도 될까요?
,환자 몰래 약을 음식에 넣어 줘도 될까요?
,약을 거부하는 환자에게 쉽게 먹일 수 있는 방법은 없을까요?
,약을 거부하는 환자에게 약을 쉽게 먹일 수 있는 좋은 방법 없을까요?
,약을 거부하는 환자에게 쉽게 먹일 수 있는 좋은 방법 없을까요?
,약을 거부하는 환자에게 약을 쉽게 먹일 수 있는 좋은 방안은 없을까요?
,약을 거부하는데 강제로 먹여도 되나요?
,몰래 약을 투약해도 될까요?
,약을 녹여서 먹는건 괜찮나요?
,약을 거부하는데 방법이 없을까요?
,약을 잘 먹지 않습니다
,음식에 약을 타서 먹어도 되나요?
,약을 몰래 먹이는 방법이 없을까요?
,약을 거부하는데 먹일 방법이 있을까요?
,약을 잘 안먹으려고 합니다
,약을 몰래 먹이려는데 방법이 있을까요?
,음식과 함께 약을 몰래 먹여도 될까요?
,음료에 타서 먹는거도 괜찮을까요?
,몰래 약을 음식이나 음료에 섞어도 될까요?
,약을 몰래 먹여도 괜찮을까요?
,약을 자꾸 거부해서 몰래 먹이려고 합니다
,환자 모르게 약을 먹이는 방법이 있을까요?
,약을 강제로 먹여도 될까요?
,약을 거부하지 않도록 하는 방법이 있을까요?
,약이 독해서 그런데 다른데 섞어서 먹여도 될까요?
,약을 안먹으려고 하는데 방법이 있을까요?
,약을 몰래 먹여도 되나요?
,음식과 함께 먹여도 괜찮을까요?
,약을 음료와 함께 녹여서 먹어도 될까요?
,환자가 모르게 약을 먹여도 될까요?
,환자 몰래 음식에 약을 타도 될까요?
,환자가 약을 모르게 먹어도 괜찮을까요?
,음식에 약을 타도 괜찮을까요?
,환자가 약을 거부하는데 방법이 없을까요?
,약을 먹지 않는데 먹일 방법이 없을까요?
,강제로 약을 먹이면 안좋을까요?
,음식에 몰래 약을 먹여도 될까요?
,약을 먹지 않으려고 하는데 음료에 타서 먹어도 될까요?
,강제로 먹이려면 어떻게 해야할까요?
,가족이 약 복용하기를 꺼리는데 약을 환자 몰래 국같은데 타서 먹여도 될까요?
,가족이 약 복용하기를 꺼리는데 약을 환자 몰래 국같은데 타서 복용시켜도 될까요?
,아이가 약 복용하기를 꺼리는데 약을 아이 몰래 국같은데 타서 먹여도 될까요?
,아이가 약 복용하기를 꺼리는데 약을 아이 몰래 국같은데 타서 복용시켜도 될까요?
,약을 물에 타서 먹어도 되나요?
,약을 반찬에 타서 먹어도 되나요?
,약을 음료수에 타서 먹어도 되나요?
,약을 물에 타서 먹이면 몸에 안좋나요?
,약을 반찬에 타서 먹이면 몸에 안좋나요?
,약을 음료수에 타서 먹이면 몸에 안좋나요?
,약을 잘 먹으려고 하지 않는데 반찬에 넣어서 먹어도 되나요?
,약을 잘 먹으려고 하지 않는데 국에 넣어서 먹어도 되나요?
,약을 잘 먹으려고 하지 않는데 물에 넣어서 먹어도 되나요?
,약을 잘 먹으려고 하지 않는데 음료수에 넣어서 먹어도 되나요?
,약을 안먹으려고 하는 아이에게 약을 음식에 섞어서 줘도 되나요?
,약을 안먹으려고 하는 아이에게 약을 밥에 섞어서 줘도 되나요?
,약을 거부하는 환자에게 약을 음식에 섞어서 줘도 되나요?
,약을 밥에 섞어 먹어도 되나요?
,약을 물에 섞어 먹어도 되나요?
,약을 국에 섞어 먹어도 되나요?
,약을 음식에 숨겨서 먹여도 될까요?
,약을 음식에 넣어 줘도 약효는 똑같은가요?
,약을 음료수에 타서 주면 효과가 덜한가요?
,아이가 약을 잘 안먹으려고 해서 음식에 넣어 줘도 되나요?
,환자가 약을 자꾸 거부하는데 밥에 몰래 숨겨도 괜찮을까요?
,약을 음료수에 녹여 주면 몸에 안좋은가요?
,아이가 약을 가리는데 밥에 비벼서 줘도 될까요?
,아이 몰래 약을 음료수에 타다가 걸렸어요. 어떻게 해야 할까요?
,약을 음식에도 넣어보고 했는데 매번 약을 먹이는게 너무 힘들어요. 괜찮은 방법 없을까요?
,밥에 몰래 약을 넣어주는 것 말고 약을 먹일 수 있는 좋은 방법 있나요?
,환자 음식에 약을 몰래 타는 걸 들킨 후로 약 먹이는게 힘들어요. 다른 방법 없을까요?
,약을 거부하는 환자에게 약을 쉽게 먹일 수 있는 방법이 궁금해요
,수면시간이 불규칙해서 약먹는 시간을 어떻게 해야할 지 모르겠어요
,자는 시간이 불규칙하면 약 복용 주기도 불규칙해도 되나요?
,늦게 자는 사람은 자기전 약을 언제 먹어야 하나요?
,수면 시간이 불규칙한 사람은 자기전 약을 자기전에 먹어야 하나요? 아니면 일정 시간에 먹어야 하나요?
,늦게 일어나고 늦게 자는 사람은 약시간 설정을 어떻게 하나요?
,새벽에 자는 사람은 자기전약을 언제 먹어야 하나요?
,새벽에 약 먹어도 되나요?
,초저녁 부터 자는 사람은 자기전약을 어떻게 먹어야 하나요?
,약 때를 놓치게 되어 약을 먹지 않는게 낫나요? 아니면 늦게라도 먹는게 낫나요?
,약 때를 놓쳤으면 늦게라도 먹어야 하나요?
,늦게 자고 늦게 일어나는 사람은 새벽에 약을 먹어야 하나요?
,생활 패턴이 새벽에 깨어있을 때가 많은데 약때를 계속 놓치게 됩니다.
,생활 패턴이 늦게 자기 때문에 약 시간을 계속 놓칩니다.
,항상 늦게 자기 때문에 자기전약 시간을 어떻게 해야할지 모르겠어요
,늦게 자는 사람은 새벽에라도 약을 먹어야 하나요?
,아침에 자는 사람은 자기전약을 언제 먹어야 하나요?
,새벽 늦게 자는 사람은 자기전약을 언제 먹어야 하나요?
,늦게 자는 것 때문에 약 시간이 불규칙합니다. 그냥 약을 한타임 거르는게 나을까요?
,불규칙한 수면시간 때문에 새벽이라면 자기전약을 안 먹는게 나울까요?
,새벽이라면 자기전약을 한타임 거르는게 나을까요?
,밤늦게 잘 경우에 자기전약을 안먹는게 나을까요?
,밤 늦게 잘 경우에 자기전약을 늦게라도 먹을까요?
,새벽이라도 자기전약을 먹는게 나을까요?
,새벽이라면 자기전약을 한번 안먹는게 나을까요?
,늦게 잘 경우 약을 안 먹는게 나을까요?
,가끔 새벽 늦게 잘 경우 자기전약을 거르는게 나을까요?
,업무때문에 늦게 잘 때가 많은데 자기전약을 거르는 것이 나을까요?
,불가피하게 늦게 잘 때가 많은데 자기전약을 거르는 것이 나을까요?
,업무때문에 늦게 잘 때가 많은데 자기전약을 언제 먹어야 하나요?
,불가피하게 늦게 잘 때가 많은데 자기전약을 언제 먹어야 하나요?
,가끔 새벽 늦게 잘 경우 자기전약을 언제 먹어야 하나요?
,업무때문에 늦게 잘 때가 많은데 자기전약을 늦게라도 먹어야 하나요?
,불가피하게 늦게 잘 때가 많은데 자기전약을 늦게라도 먹어야 하나요?
,가끔 새벽 늦게 잘 경우 자기전약을 늦게라도 먹어야 하나요?
,약을 거부해서 어쩔 수 없이 음식에 섞어서 먹여도 되나요?
,약이 쓴 것 때문에 음료수에 녹여서 먹여도 괜찮을까요?
,환자가 약물치료를 거부해서 불가피하게 음식에 넣어서 먹여야 할 것 같아요
,약물치료를 원하지 않는 사람에게 약을 음식에 넣어서 먹여도 될까요?
,음식에 약을 섞어도 되나요?
,약과 섞어도 되는 음식물이 있나요?
,약물치료를 거부해서 음식에 약을 섞어서 줘야할 것 같아요
,약먹기 싫어해서 음식에 약을 섞어서 줘야할 것 같아요
,음식에 약을 섞어도 약효가 나타나죠?
,환자 몰래 음식에 약을 타도 괜찮나요?
,약 먹기 싫어해서 불가피하게 음식에 약을 탔습니다. 더 좋은 방법이 없을까요?
,환자에게 음식에 약을 탄 것을 들켰습니다. 다른 방법이 없을까요?
,약물치료를 거부하는 환자에게 좋은 방법이 있을까요?
,약물치료를 싫어하는 환자에게 좋은 방법이 있을까요?
,환자가 약을 먹기 싫어해서 디저트에 약을 섞어서 먹여도 괜찮을까요?
,환자가 약을 거부해서 디저트에 약을 섞어서 먹여도 되나요?
,약을 거부하면 음식에 약을 몰래 섞여서 먹여도 괜찮을까요?
,음식에 약을 섞어서 먹이는 것이 좋은 방법인가요?
,환자가 음식에 약을 섞어서 먹는 것을 요구한다면 들어줘야하나요?
,환자가 음식에 약을 타서 먹는 것을 요구합니다.
,환자가 음료수에 약을 타서 먹고싶어합니다.
,환자가 음료수에 약을 타서 먹는 것을 요구합니다.
,약물 치료를 거부하는 환자라면 식사에 약을 타서 먹일까요?
,약을 먹기 싫어한다면 식사에 약을 타서 먹일까요?
,환자가 약을 먹기 싫어하면 몰래라도 먹여야 할까요?
,환자가 약을 거부하면 몰래 음식에 섞여서라도 먹여야 할까요?
